DIC_DT_DATE_ID,DIC_AFA_ID,NoOfImpressions,NoofClicks,Unique_IMP_Count,Unique_CLI_Count,BannerName,MM_BrandName,Language_Desc,MM_Size_Name,IsDirectDownload,MM_DestinationURL,MM_Promotion_Name,MM_IsMobile
20230406,100131724,10,8,2,3,888casino.es 1 million,888casino.es,Spanish,720x300,0,http://www.888casino.es/,UD,0
20230406,100113580,18,4,5,2,Roulette 1500 WP,888casino,English,728x90,0,https://www.888casino.com/exclusive-mob/offer-1500.htm,Roulette - 1500 Welcome Package,1
20230406,100129330,20,6,5,2,Roulette 1500 WP,888casino,Japanese,120x600,0,https://jp.888casino.com/exclusive-mob/offer-1500.htm,Roulette - 1500 Welcome Package,0
20230406,100083454,0,2,0,2,Spin the wheel Cleopatra,888casino,English,300x250,0,https://www.888casino.com/exclusive-mob/cleopatra-1500-88.htm,Spin the wheel,0
20230406,100197158,3,1,1,1,Roulette 50 free + 1500 WP,888casino,English,468x60,0,http://www.888casino.com/exclusive-mob/roulette50.htm,Roulette 50 free + 1500 WP,0
20230406,100200154,0,9,0,3,Roulette 50 free + 1500 WP,888casino,English,468x60,0,http://www.888casino.com/exclusive-mob/roulette50.htm,Roulette 50 free + 1500 WP,0
20230406,100032956,0,6,0,1,50 kr+ 100% up to 2000kr ,888casino.dk,Danish,250x250,0,https://www.888casino.dk/sem/online-casino/slots/50kr-rfstarsp.htm,Casino DK - 50KR + 2000KR,1
20230406,100079940,5,7,1,2,50kr+ 100% up to 2000kr ,888casino.dk,Danish,300x600,0,https://www.888casino.dk/sem/online-casino/slots/50kr-rfstarsp.htm,Casino DK - 50KR + 2000KR,0
20230406,100079940,1,5,1,2,50 KR +up to 2000kr-slots,888casino.dk,Danish,UD,0,https://www.888casino.dk/sem/online-casino/slots/50kr-rfstarsp.htm,Casino DK - 50KR + 2000KR,0
20230406,141074114,0,0,0,0,50 KR +up to 2000kr-slots,888casino.dk,Danish,UD,0,https://www.888casino.dk/sem/online-casino/slots/50kr-rfstarsp.htm,Casino DK - 50KR + 2000KR,1
20230406,100238383,0,1,0,1,50 KR +up to 2000kr-Generic,888casino.dk,Danish,UD,0,https://www.888casino.dk/sem/online-casino/generic/50kr-rfsp.htm,Casino DK - 50KR + 2000KR,0
20230406,100200357,9,10,5,3,50 Kr spins - slots,888casino.dk,Danish,UD,0,https://www.888casino.dk/sem/online-casino/slots/50kr-rfsp.htm,Casino DK - 50KR + 2000KR,0
20230406,100206581,2,4,1,1,50 KR - Blackjack,888casino.dk,Danish,UD,0,https://www.888casino.dk/sem/online-casino/blackjack/50kr-rfsp.htm,Casino DK - 50KR + 2000KR,0
20230406,141074114,18,6,9,2,www.888casino.dk - Home Page,888casino.dk,Danish,UD,0,http://www.888casino.dk/,Casino DK - 50KR + 2000KR,0
20230406,100069809,22,5,8,2,www.888casino.dk - Home Page,888casino.dk,Danish,UD,0,http://www.888casino.dk/,Casino DK - 50KR + 2000KR,0
20230406,100190393,26,0,15,0,888Ladies registration page,888ladies.com,English,UD,0,https://www.888ladies.com/smarturl, Treble the odds,1
20230406,100229330,12,12,0,4,Cleopatra 1500 WP,888casino,Czech,120x600,0,http://cs.888casino.com/exclusive-mob/cleopatra-1500-88.htm,?1500 Welcome Package,1
20230406,100229330,11,27,3,16,Cleopatra 1500 WP,888casino,Greek,120x600,0,http://el.888casino.com/exclusive-mob/cleopatra-1500-88.htm,?1500 Welcome Package,1
20230406,100329330,2,6,1,2,Treasure Fair - 1500 Welcome package + 30 free,888casino,Czech,120x600,0,http://cs.888casino.com/exclusive-mob/treasure-fair.htm,1500 WP + 30,0
20230406,100401300,5,4,1,1,Treasure Fair - 1500 Welcome package + 30 free,888casino,German,728x90,0,http://de.888casino.com/exclusive-mob/treasure-fair.htm,1500 WP + 30,0
20230406,100426330,17,20,8,8,Roulette 100% up to 200,888casino,English,UD,0,https://play-www.777.com/,777 100% up to 200,0
20230406,100326330,0,16,0,8,Roulette 100% up to 200,888casino,English,UD,0,https://play-www.777.com/,777 100% up to 200,0
20230406,100190659,18,12,5,7,777 BJ 100% up to 200,888casino,English,UD,0,http://www.777.com/exclusive/blackjack.htm,777 100% up to 200,0
20230406,100288955,1,8,1,3,777 Slots 100% up to 200,888casino,English,UD,0,https://play-www.777.com/,777 100% up to 200,0
20230406,100286970,9,12,5,4,Bem-vindo Pacote,888casino,Portuguese,236x60,1,http://pt.888casino.com/,UD,0
20230406,100255776,12,8,4,3,Bem-vindo Pacote,888casino,Portuguese,300x250,1,http://pt.888casino.com/,UD,0
20230406,100329330,18,4,5,2,EURO EL Roulette,888casino,Greek,120x600,1,http://el.888casino.com/,UD,0
20230406,100323412,20,6,5,2,888casino.es 1 million,888casino.es,Spanish,728x90,0,http://www.888casino.es/,UD,1
20230406,100231724,2,2,1,2,888casino.es 1 million,888casino.es,Spanish,720x300,0,http://www.888casino.es/,UD,0
20230406,100313580,7,1,3,1,Roulette 1500 WP,888casino,English,728x90,0,https://www.888casino.com/exclusive-mob/offer-1500.htm,Roulette - 1500 Welcome Package,0
20230406,100329330,9,10,5,3,Roulette 1500 WP,888casino,Japanese,120x600,0,https://jp.888casino.com/exclusive-mob/offer-1500.htm,Roulette - 1500 Welcome Package,0
20230406,100183454,2,4,1,1,Spin the wheel Cleopatra,888casino,English,300x250,0,https://www.888casino.com/exclusive-mob/cleopatra-1500-88.htm,Spin the wheel,0
20230406,100238383,16,6,7,2,50 KR +up to 2000kr-Generic,888casino.dk,Danish,UD,0,https://www.888casino.dk/sem/online-casino/generic/50kr-rfsp.htm,Casino DK - 50KR + 2000KR,1
20230406,100200357,18,5,5,2,50 Kr spins - slots,888casino.dk,Danish,UD,0,https://www.888casino.dk/sem/online-casino/slots/50kr-rfsp.htm,Casino DK - 50KR + 2000KR,0
